"Balanszijde","Instrument","Stroomtype","LooptijdOorspronkelijk","RenteVastPeriode","Periode ","waarde"
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2003-01",5.1
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2003-02",5.11
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2003-03",5.27
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2003-04",4.98
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2003-05",4.64
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2003-06",4.29
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2003-07",4.69
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2003-08",5.2
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2003-09",4.96
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2003-10",5.04
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2003-11",4.84
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2003-12",4.65
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2004-01",5.31
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2004-02",5.01
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2004-03",5.36
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2004-04",5.02
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2004-05",5.09
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2004-06",4.79
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2004-07",4.98
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2004-08",4.94
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2004-09",5.35
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2004-10",5.23
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2004-11",5.1
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2004-12",4.2
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2005-01",4.26
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2005-02",5.23
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2005-03",5.54
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2005-04",5.21
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2005-05",4.58
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2005-06",5.25
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2005-07",4.87
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2005-08",5.2
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2005-09",4.63
"Activa ","Consumptief krediet en overige leningen - Totaal ","Nieuwe contracten ","Totaal ","> 1 jaar en <= 5 jaar ","2005-10",4.82
